Sr. No.,Area Served,Airport Name,IATA,Airport Type
1,Delhi NCR,Indira Gandhi International Airport,DEL,International
2,Mumbai,Chhatrapati Shivaji Maharaj International Airport,BOM,International
3,Chennai,Chennai International Airport,MAA,International
4,Kolkata,Netaji Subhas Chandra Bose International Airport,CCU,International
5,Hyderabad,Rajiv Gandhi International Airport,HYD,International
6,Guwahati, Lokpriya Gopinath Bordoloi International Airport,GAU,International
7,Pune,Pune Airport,PNQ,International
8,Kadapa,Kadapa Airport,CDP,Domestic
9,Tezu,Tezu Airport,TEI,Domestic
10,Dibrugarh,Dibrugarh Airport,DIB,Domestic
11,Darbhanga,Darbhanga Airport,DBR,Domestic
12,Raipur,Swami Vivekananda Airport,RPR,Domestic
13,Vadodara,Vadodara Airport,BDQ,Domestic
14,Kangra,Kangra Airport,DHM,Domestic
15,Deoghar,Deoghar Airport,DGH,Domestic
16,Hubli,HUbli Airport,HBX,Domestic
17,Thiruvananthapuram,Thiruvananthapuram International Airport,TRV,Domestic
18,Bhopal,Raja Bhoj Airport,BHO,Domestic
19,Jalgaon,Jalgaon Airport,JLG,Domestic
20,Gondia,Gondia Airport,GDB,Domestic
21,Shillong,Shillong Airport,SHL,Domestic
22,Aizawl,Lengpui Airport,AJL,State/Private
23,Dimapur,Dimapur Airport,DMU,Domestic
24,Jharsuguda,Veer Surendra Sai Airport,JRG,Domestic
25,Bikaner,Bikaner Airport,BKB,Domestic
26,Gangtok,Pakyong Airport,PYG,Domestic
27,Salem,Salem Airport,SXV,Domestic
28,Gorakhpur,Gorakhpur Airport,GOP,Domestic
29,Dehradun,Dehradun Airport,DED,Domestic
30,Diu,Diu Airport,DIU,Domestic
31,Jammu,Jammu Airport,IXJ,Domestic

